requested_current_A_m2,transport_limited_current_A_m2,growth_velocity_m_s
1419.1481138806744,1419.1481138806744,4.9549610692771074e-08
1432.1678213474695,1432.1678213474695,5.000419427710842e-08
1445.1875288142646,1445.1875288142646,5.045877786144576e-08
1458.2072362810597,1458.2072362810597,5.091336144578311e-08
1471.226943747855,1471.226943747855,5.1367945030120465e-08
1484.2466512146502,1484.2466512146502,5.182252861445781e-08
1497.2663586814454,1497.2663586814454,5.227711219879516e-08
1510.2860661482405,1510.2860661482405,5.273169578313251e-08
1523.3057736150358,1523.3057736150358,5.318627936746986e-08
1536.325481081831,1536.325481081831,5.3640862951807216e-08
1549.345188548626,1549.345188548626,5.4095446536144564e-08
1562.3648960154212,1562.3648960154212,5.455003012048191e-08
1575.3846034822163,1575.3846034822163,5.500461370481926e-08
1588.4043109490117,1588.4043109490117,5.5459197289156614e-08
1601.4240184158068,1601.4240184158068,5.591378087349396e-08
1614.443725882602,1614.443725882602,5.63683644578313e-08
1627.463433349397,1627.463433349397,5.682294804216865e-08
1640.4831408161924,1640.4831408161924,5.7277531626506005e-08
1653.5028482829875,1653.5028482829875,5.773211521084335e-08
1666.5225557497827,1666.5225557497827,5.81866987951807e-08
1679.5422632165778,1679.5422632165778,5.864128237951805e-08
1692.561970683373,1692.561970683373,5.90958659638554e-08
1705.5816781501683,1705.5816781501683,5.9550449548192757e-08
1718.6013856169634,1718.6013856169634,6.00050331325301e-08
1731.6210930837585,1731.6210930837585,6.045961671686745e-08
1744.6408005505536,1744.6408005505536,6.091420030120479e-08
1757.660508017349,1757.660508017349,6.136878388554215e-08
1770.6802154841441,1770.6802154841441,6.18233674698795e-08
1783.6999229509393,1783.6999229509393,6.227795105421685e-08
1796.7196304177344,1796.7196304177344,6.27325346385542e-08
1809.7393378845295,1809.7393378845295,6.318711822289155e-08
1822.7590453513249,1822.7590453513249,6.364170180722889e-08
1835.77875281812,1835.77875281812,6.409628539156624e-08
1848.798460284915,1848.798460284915,6.45508689759036e-08
1861.8181677517102,1861.8181677517102,6.500545256024094e-08
1874.8378752185056,1874.8378752185056,6.54600361445783e-08
1887.8575826853007,1887.8575826853007,6.591461972891564e-08
1900.8772901520958,1900.8772901520958,6.636920331325299e-08
1913.896997618891,1913.896997618891,6.682378689759034e-08
1926.9167050856863,1926.9167050856863,6.727837048192769e-08
1939.9364125524814,1939.9364125524814,6.773295406626504e-08
1952.9561200192766,1952.9561200192766,6.818753765060238e-08
1965.9758274860717,1965.9758274860717,6.864212123493973e-08
1978.9955349528668,1978.9955349528668,6.909670481927708e-08
1992.0152424196622,1992.0152424196622,6.955128840361444e-08
2005.0349498864573,2005.0349498864573,7.000587198795179e-08
2018.0546573532524,2018.0546573532524,7.046045557228914e-08
