epoch,physics_loss
0,0.1512707769870758
20,0.01275095995515585
40,0.004692764952778816
60,0.0035364653449505568
80,0.002553229685872793
100,0.0024286347907036543
120,0.0016796702984720469
140,0.0008857581415213645
160,0.00041196501115337014
180,0.00019170320592820644
200,0.00018402437854092568
220,0.00014232279499992728
240,9.569213580107316e-05
260,0.00013016178854741156
280,0.00013799052976537496
300,0.00012025315663777292
320,0.00010016853775596246
340,0.0001396650040987879
360,8.41365399537608e-05
380,0.00010001528426073492
400,0.00010260737326461822
420,8.552928920835257e-05
440,7.65041695558466e-05
460,0.0001075889595085755
480,6.778647366445512e-05
500,7.684922456974164e-05
520,8.408022404182702e-05
540,8.652734686620533e-05
560,6.632732402067631e-05
580,6.876466795802116e-05
600,5.1428982260404155e-05
620,5.128566044731997e-05
640,6.162503268569708e-05
660,5.4449257731903344e-05
680,5.593545938609168e-05
700,5.527972462004982e-05
720,5.624556069960818e-05
740,4.708922642748803e-05
760,5.221191167947836e-05
780,6.0043235862394795e-05
800,4.0566159441368654e-05
820,3.749870302272029e-05
840,4.773880209540948e-05
860,3.800269769271836e-05
880,4.5223088818602264e-05
900,3.520227983244695e-05
920,3.395031308173202e-05
940,3.653619933174923e-05
960,5.007014988223091e-05
980,3.412442310946062e-05
1000,3.8886675611138344e-05
1020,3.060715243918821e-05
1040,3.450496296864003e-05
1060,3.481388557702303e-05
1080,3.1688567105447873e-05
1100,2.7810569008579478e-05
1120,2.795147884171456e-05
1140,2.7862339265993796e-05
1160,3.2301257306244224e-05
1180,3.333368294988759e-05
