time_s,L_theta_20_m,L_theta_40_m,L_theta_60_m
0.0,0.0,0.0,0.0
0.0003333333333333334,4.880199530536611e-05,4.406275562674488e-05,3.559833394009255e-05
0.0006666666666666668,6.901644363171686e-05,6.231414660287402e-05,5.034364665596535e-05
0.001,8.452753537963192e-05,7.631893146701356e-05,6.165812304904388e-05
0.0013333333333333335,9.760399061073222e-05,8.812551125348977e-05,7.11966678801851e-05
0.001666666666666667,0.00010912457894042421,9.852731685736291e-05,7.960029457578488e-05
0.002,0.00011953998692784707,0.00010793126794647335,8.719775384642699e-05
0.0023333333333333335,0.00012911794306174037,0.00011657909346857893,9.418433869371498e-05
0.002666666666666667,0.0001380328872634337,0.00012462829320574804,0.0001006872933119307
0.0030000000000000005,0.00014640598591609833,0.00013218826688023464,0.00010679500182027766
0.003333333333333334,0.00015432545952580136,0.0001393386677639139,0.00011257181615796848
0.003666666666666667,0.00016185790744858508,0.00014613962764303397,0.00011806631684106097
0.004,0.00016905507075926383,0.00015263786293402711,0.00012331624609808776
0.004333333333333334,0.00017595809641845038,0.00015887052475046807,0.00012835161834209372
0.004666666666666667,0.0001826003462236303,0.00016486773507242504,0.0001331967691437928
0.005000000000000001,0.00018900931507937548,0.00017065431873039007,0.0001378717545027087
0.005333333333333334,0.00019520798122146443,0.00017625102250697953,0.0001423933357603702
0.005666666666666667,0.00020121578138492164,0.00018167539560484805,0.00014677569093101168
0.006000000000000001,0.0002070493308951506,0.00018694243980862206,0.00015103093996789605
0.006333333333333334,0.00021272296577923722,0.00019206509895090915,0.00015516954020327754
0.006666666666666668,0.00021824915788084843,0.00019705463371472582,0.00015920058915156975
0.007000000000000001,0.00022363883755171975,0.0002019209129878998,0.0001631320598947897
0.007333333333333334,0.00022890164789111822,0.0002066726434129327,0.0001669709865360674
0.007666666666666668,0.00023404614748603414,0.00021131755243876803,0.00017072361208730896
0.008,0.00023907997385569414,0.0002158625358929467,0.00017439550769285397
0.008333333333333335,0.00024400997652683054,0.00022031377813372442,0.00017799166970046277
0.008666666666666668,0.00024884232636432525,0.00022467685076344243,0.00018151659941192423
0.009000000000000001,0.0002535826061388958,0.0002289567944010407,0.00018497436914713164
0.009333333333333334,0.00025823588612348074,0.00023315818693715786,0.00018836867738742996
0.009666666666666667,0.00026280678763640085,0.00023728520090651438,0.00019170289512680818
0.010000000000000002,0.00026729953680010234,0.00024134165202605856,0.0001949801050859045
0.010333333333333335,0.00027171801029621543,0.0002453310405066782,0.00019820313508776976
0.010666666666666668,0.0002760657745268674,0.0002492565864114961,0.0002013745866238614
0.011000000000000001,0.00028034611930773036,0.000253121260076932,0.0002044968594312426
0.011333333333333334,0.0002845620869980559,0.0002569278084138735,0.00020757217274131843
0.011666666666666669,0.00028871649780099883,0.00026067877775104426,0.00021060258373501047
0.012000000000000002,0.00029281197183219667,0.0002643765337604693,0.00021359000364055533
0.012333333333333335,0.00029685094844727057,0.00026802327890805083,0.00021653621183183837
0.012666666666666668,0.00030083570323322507,0.00027162106779490624,0.0002194428682226723
0.013000000000000001,0.00030476836299985936,0.00027517182069293955,0.00022231152420219575
0.013333333333333336,0.0003086509190516027,0.0002786773355278278,0.00022514363231593696
0.013666666666666669,0.0003124852389748738,0.00028213929852169076,0.00022794055486403505
0.014000000000000002,0.0003162730771389955,0.0002855592936742455,0.00023070357156107163
0.014333333333333335,0.0003200160840782131,0.00028893881123372167,0.00023343388637973034
0.014666666666666668,0.00032371581489717017,0.00029227925528606794,0.00023613263368212195
0.015000000000000001,0.00032737373682127267,0.0002955819505720887,0.00023880088372735462
0.015333333333333336,0.00033099123599592315,0.0002988481486263934,0.00024143964763119558
0.01566666666666667,0.00033456962362398335,0.00030207903331884054,0.00024404988184300813
0.016,0.00033811014151852766,0.00030527572586805423,0.0002466324921961755
0.016333333333333335,0.00034161396713756274,0.00030843928938721415,0.00024918833758064786
0.01666666666666667,0.0003450822181585843,0.0003115707330143701,0.0002517182332798267
0.017,0.0003485159566433562,0.0003146710156727723,0.00025422295400853875
0.017333333333333336,0.00035191619283690077,0.00031774104950093614,0.00025670323668418744
0.017666666666666667,0.0003552838886392172,0.00032078170298721625,0.0002591597829591781
0.018000000000000002,0.0003586199607835413,0.00032379380383942006,0.00026159326153928097
