step,T0_K,T1_K,T2_K,T3_K,T4_K,T5_K
0,300.0,300.0,300.0,300.0,300.0,300.0
1,300.0,494.4008524719979,620.5128205128206,494.40085247199784,343.3766933450682,300.0
2,300.0,594.0786378797269,887.1961908231624,775.6554884871819,454.3324499202996,300.0
3,300.0,637.3937232160584,1055.6574115464798,1082.7207233441752,659.4378273055399,300.0
4,300.0,656.6600458590968,1134.6357423323145,1336.7039480292167,946.3820312578523,300.0
