epoch,mse,physics_penalty
0,14231.8642578125,0.10526314377784729
20,13514.1435546875,0.08115522563457489
40,12496.482421875,0.5730412602424622
60,11549.9658203125,0.732536792755127
80,10698.7158203125,0.6719212532043457
100,9923.6240234375,0.5638568997383118
120,9210.4853515625,0.46280914545059204
140,8549.955078125,0.3800771236419678
160,7935.6962890625,0.31493037939071655
180,7363.1416015625,0.2640282213687897
200,6828.7998046875,0.22408117353916168
220,6329.8642578125,0.19244350492954254
240,5863.9794921875,0.16711357235908508
260,5429.0986328125,0.14660823345184326
280,5023.4033203125,0.1298305094242096
300,4645.236328125,0.11596431583166122
320,4293.06982421875,0.10439690947532654
340,3965.47607421875,0.09466404467821121
360,3661.108154296875,0.08641046285629272
380,3378.688232421875,0.07936103641986847
400,3116.99853515625,0.07330143451690674
420,2874.873779296875,0.06806138902902603
440,2651.1953125,0.06350560486316681
460,2444.888671875,0.05952569842338562
480,2254.922607421875,0.05603416636586189
500,2080.302734375,0.052958302199840546
520,1920.0740966796875,0.05023966729640961
540,1773.3194580078125,0.04782947897911072
560,1639.1585693359375,0.04568757489323616
580,1516.74658203125,0.043779291212558746
600,1405.2740478515625,0.04207628220319748
620,1303.968505859375,0.04055487737059593
640,1212.092041015625,0.039193037897348404
660,1128.94189453125,0.03797508776187897
680,1053.8499755859375,0.03688525781035423
700,986.1831665039062,0.035910725593566895
720,925.3423461914062,0.03503938391804695
740,870.7619018554688,0.034262366592884064
760,821.9104614257812,0.033572807908058167
780,778.2868041992188,0.03296094015240669
800,739.4237060546875,0.03242241218686104
820,704.8843383789062,0.031949616968631744
840,674.2614135742188,0.03154008090496063
860,647.1768188476562,0.031188828870654106
880,623.2816772460938,0.030891085043549538
900,602.2525024414062,0.030645547434687614
920,583.7919921875,0.030447492375969887
940,567.6278686523438,0.030296696349978447
960,553.5105590820312,0.030189603567123413
980,541.2129516601562,0.03012547828257084
1000,530.5279541015625,0.030101219192147255
1020,521.2688598632812,0.030117569491267204
1040,513.266357421875,0.03017345257103443
1060,506.3680114746094,0.030266525223851204
1080,500.4372863769531,0.0303978119045496
1100,495.3522033691406,0.030565574765205383
1120,491.003662109375,0.030771024525165558
1140,487.2945251464844,0.03101387619972229
1160,484.1394958496094,0.03129352256655693
1180,481.4622497558594,0.03161057084798813
1200,479.1965637207031,0.031965624541044235
1220,477.28375244140625,0.03236006572842598
1240,475.6724853515625,0.032793134450912476
1260,474.318603515625,0.0332660973072052
1280,473.1826171875,0.03377978876233101
1300,472.2315979003906,0.03433609753847122
1320,471.4359130859375,0.03493440896272659
1340,470.77117919921875,0.035576362162828445
1360,470.21514892578125,0.036262303590774536
1380,469.74981689453125,0.03699246793985367
1400,469.3586730957031,0.03776690736413002
1420,469.0286865234375,0.038583822548389435
1440,468.7477722167969,0.03944099694490433
1460,468.5054016113281,0.04033420979976654
1480,468.2927551269531,0.0412546768784523
1500,468.1011047363281,0.04218827933073044
1520,467.9227600097656,0.043115340173244476
1540,467.75,0.04399991035461426
1560,467.5729064941406,0.04478328302502632
1580,467.3804931640625,0.04536687955260277
1600,467.1556396484375,0.04557311162352562
1620,466.8685607910156,0.04506223648786545
1640,466.4573974609375,0.04309763014316559
1660,465.7461853027344,0.03771773353219032
1680,463.8536071777344,0.021400943398475647
1700,410.61932373046875,0.0
1720,265.7467956542969,0.0
1740,244.0321044921875,0.0
1760,227.8378143310547,0.0
1780,213.34852600097656,0.0
1800,200.38145446777344,0.0
1820,188.65237426757812,0.0
1840,177.61814880371094,0.0
1860,165.900146484375,0.0
1880,154.96669006347656,0.0
1900,144.65570068359375,0.0
1920,134.9195098876953,0.0
1940,125.73709869384766,0.0
1960,117.08474731445312,0.0
1980,108.9397201538086,0.0
2000,101.2793197631836,0.0
2020,94.0809555053711,0.0
2040,87.32321166992188,0.0
2060,80.98486328125,0.0
2080,75.04521942138672,0.0
2100,69.48451232910156,0.0
2120,64.2835693359375,0.0
2140,59.42371368408203,0.0
2160,54.88718032836914,0.0
2180,50.65676498413086,0.0
2200,46.715858459472656,0.0
2220,43.0487174987793,0.0
2240,39.63985824584961,0.0
2260,36.474910736083984,0.0
2280,33.53948211669922,0.0
2300,30.8203182220459,0.0
2320,28.30436134338379,0.0
2340,25.978906631469727,0.0
2360,23.83185577392578,0.0
2380,21.850889205932617,0.0
2400,20.02375030517578,0.0
2420,18.3383731842041,0.0
2440,16.78230857849121,0.0
2460,15.34347152709961,0.0
2480,14.010274887084961,0.0
