x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
2.4999999999999998e-05,2703314585373.59,994493858977.8461,284927261045.1543,63575865387.65876
2.6e-05,2750901412434.948,1017072745806.5663,292856850062.5983,65672740012.31734
2.7e-05,2799045998514.0176,1040060250146.3365,300977022098.09076,67831990726.59909
2.8e-05,2847748392475.113,1063460958196.025,309291415064.42834,70055229463.2303
2.9e-05,2897008475246.856,1087279434226.715,317803708489.5128,72344101560.35582
2.9999999999999997e-05,2946825956948.294,1111520218242.3293,326517623173.97736,74700286187.57442
3.1e-05,2997200374051.293,1136187823600.0076,335436920818.4623,77125496768.7257
3.2e-05,3048131086581.557,1161286734590.785,344565403619.9169,79621481401.06604
3.2999999999999996e-05,3099617275360.6323,1186821403981.1458,353906913836.3367,82190023270.45668
3.4e-05,3151657939291.2505,1212796250516.0876,363465333319.33435,84832941062.18597
3.5e-05,3204251892688.42,1239215656384.3413,373244583013.94385,87552089367.03027
3.6e-05,3257397762658.6147,1266083964646.4805,383248622425.09393,90349359082.15552
3.7e-05,3311093986529.4893,1293405476626.6306,393481449050.15094,93226677806.44583
3.7999999999999995e-05,3365338809332.4946,1321184449268.6072,403947097776.9858,96186010229.84348
3.9e-05,3420130281340.799,1349425092457.28,414649640246.9875,99229358516.2673
3.9999999999999996e-05,3475466255664.926,1378131566306.0652,425593184182.49164,102358762679.67604
4.1e-05,3531344385908.494,1407307978411.4358,436781872678.07056,105576300952.82648
4.2e-05,3587762123886.4663,1436958381075.4377,448219883455.1728,108884090148.2717
4.2999999999999995e-05,3644716717408.2925,1467086768497.1938,459911428079.5881,112284286011.13658
4.4e-05,3702205208128.335,1497697073934.45,471860751141.23676,115779083563.1922
4.4999999999999996e-05,3760224429465.943,1528793166836.2576,484072129395.80414,119370717437.75395
4.6e-05,3818771004597.5635,1560378849947.9111,496549870867.7323,123061462204.90543
4.7e-05,3877841344523.19,1592457856389.3381,509298313914.126,126853632686.556
4.8e-05,3937431646209.541,1625033846708.1387,522321826249.1155,130749584260.81702
4.9e-05,3997537890812.2515,1658110405908.553,535624803928.26355,134751713155.18834
4.9999999999999996e-05,4058155841979.37,1691691040457.6587,549211670292.59265,138862456728.02872
5.1e-05,4119281044238.4634,1725779175270.136,563086874871.8584,143084293737.77603
5.2e-05,4180908821469.5493,1760378150673.0173,577254892246.6844,147419744599.38324
5.3e-05,4243034275466.1113,1795491219351.8198,591720220869.21,151871371627.4212
5.4e-05,4305652284586.3613,1831121543279.5725,606487381841.9248,156441779265.29584
5.4999999999999995e-05,4368757502496.9556,1867272190630.2244,621560917654.3695,161133614300.01837
5.6e-05,4432344357011.237,1903946132678.0242,636945390877.4275,165949566061.96307
5.6999999999999996e-05,4496407049024.173,1941146240684.4292,652645382814.925,170892366609.03687
5.8e-05,4560939551545.99,1978875282774.234,668665492112.3185,175964790894.6854
5.9e-05,4625935608836.558,2017135920802.5596,685010333322.233,181169656919.14374
5.9999999999999995e-05,4691388735642.493,2055930707214.4358,701684535426.6709,186509825863.34802
6.1e-05,4757292216538.913,2095262081898.7456,718692740315.721,191988202204.90497
6.2e-05,4823639105377.737,2135132369038.3103,736039601222.6288,197607733815.5231
6.3e-05,4890422224844.368,2175543773957.9604,753729781115.1161,203371412039.2985
6.4e-05,4957634166124.5625,2216498379972.4536,771767951042.8627,209282271751.24164
6.5e-05,5025267288683.184,2257998145236.1753,790158788441.1104,215343391395.43906
6.599999999999999e-05,5093313720156.596,2300044899596.497,808906975390.3344,221557893002.22208
6.7e-05,5161765356360.221,2342640341452.86,828017196832.0288,227928942183.73434
6.8e-05,5230613861412.942,2385786034623.5024,847494138740.5972,234459748107.2628
6.9e-05,5299850667979.767,2429483405221.9297,867342486251.4626,241153563445.71857
7e-05,5369466977634.238,2473733738545.1826,887566921745.4614,248013684304.62872
7.099999999999999e-05,5439453761341.96,2518538175975.992,908172122889.6755,255043450125.02182
7.2e-05,5509801760066.555,2563897711900.9624,929162760634.8706,262246243561.57162
7.3e-05,5580501485499.291,2609813190646.943,950543497169.7306,269625490335.36725
7.4e-05,5651543220913.534,2656285303437.776,972318983832.1534,277184659060.69006
7.5e-05,5722917022145.179,2703314585373.59,994493858977.8447,284927261045.1543
7.599999999999999e-05,5794612718699.9795,2750901412434.948,1017072745806.5658,292856850062.5988
7.7e-05,5866619914988.87,2799045998514.0176,1040060250146.336,300977022098.09076
7.8e-05,5938927991691.988,2847748392475.113,1063460958196.0247,309291415064.4287
7.9e-05,6011526107252.329,2897008475246.856,1087279434226.7145,317803708489.5131
7.999999999999999e-05,6084403199499.645,2946825956948.294,1111520218242.3281,326517623173.9779
8.099999999999999e-05,6157547987405.258,2997200374051.293,1136187823600.0066,335436920818.4623
8.2e-05,6230948972968.324,3048131086581.557,1161286734590.784,344565403619.9169
8.3e-05,6304594443233.985,3099617275360.633,1186821403981.1458,353906913836.3371
8.4e-05,6378472472443.796,3151657939291.2505,1212796250516.0867,363465333319.33435
8.499999999999999e-05,6452570924318.703,3204251892688.42,1239215656384.3413,373244583013.94434
8.599999999999999e-05,6526877454474.747,3257397762658.6133,1266083964646.4792,383248622425.09393
8.7e-05,6601379512971.6045,3311093986529.4893,1293405476626.6301,393481449050.1514
8.8e-05,6676064346993.962,3365338809332.4946,1321184449268.606,403947097776.9863
8.9e-05,6750919003665.659,3420130281340.799,1349425092457.2795,414649640246.988
8.999999999999999e-05,6825930332996.366,3475466255664.926,1378131566306.064,425593184182.49164
9.099999999999999e-05,6901084990960.583,3531344385908.494,1407307978411.4346,436781872678.07056
