x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.000343,4496407049024.175,8111466227352.873,11396184932057.383,12469412485005.996
0.00034399999999999996,4432344357011.24,8035977477980.904,11346719193585.373,12477520237855.465
0.000345,4368757502496.9575,7960395179646.791,11296338473414.953,12484384761557.26
0.000346,4305652284586.3623,7884735256842.853,11245056887440.395,12490003998933.547
0.000347,4243034275466.113,7809013506674.528,11192888757815.59,12494376265435.178
0.000348,4180908821469.55,7733245593782.781,11139848606302.307,12497500249983.334
0.00034899999999999997,4119281044238.4673,7657447045380.966,11085951147549.426,12499375015624.738
0.00035,4058155841979.3726,7581633246407.918,11031211282307.445,12500000000000.0
0.00035099999999999997,3997537890812.255,7505819434799.157,10975644090582.707,12499375015624.738
0.000352,3937431646209.543,7430020696877.734,10919264824735.629,12497500249983.334
0.00035299999999999996,3877841344523.1924,7354251962866.4375,10862088902527.451,12494376265435.178
0.000354,3818771004597.5654,7278528002522.669,10804131900119.828,12490003998933.547
0.000355,3760224429465.9443,7202863420897.498,10745409545031.777,12484384761557.26
0.000356,3702205208128.337,7127272654220.065,10685937709058.371,12477520237855.467
0.000357,3644716717408.294,7051769965908.501,10625732401155.592,12469412485005.996
0.000358,3587762123886.4697,6976369442708.535,10564809760295.896,12460063931787.912
0.000359,3531344385908.4956,6901084990960.585,10503186048298.777,12449477377368.918
0.00035999999999999997,3475466255664.9287,6825930332996.37,10440877642640.904,12437655989908.53
0.000361,3420130281340.8003,6750919003665.662,10377901029250.105,12424603304977.928
0.00036199999999999996,3365338809332.498,6676064346993.968,10314272795287.768,12410323223797.668
0.000363,3311093986529.491,6601379512971.605,10250009621923.861,12394820011294.38
0.00036399999999999996,3257397762658.6177,6526877454474.751,10185128277109.121,12378098293977.934
0.000365,3204251892688.422,6452570924318.707,10119645608348.59,12360163057640.414
0.000366,3151657939291.252,6378472472443.797,10053578535480.928,12341019644878.63
0.000367,3099617275360.6343,6304594443233.988,9986944043467.729,12320673752441.816
0.000368,3048131086581.5586,6230948972968.326,9919759175197.086,12299131428406.354
0.00036899999999999997,2997200374051.295,6157547987405.262,9852041024305.662,12276399069179.545
0.00037,2946825956948.2954,6084403199499.646,9783806728023.355,12252483416334.441
0.00037099999999999996,2897008475246.8584,6011526107252.332,9715073460044.785,12227391553277.969
0.000372,2847748392475.1143,5938927991691.989,9645858423431.58,12201130901754.629
0.00037299999999999996,2799045998514.02,5866619914988.874,9576178843549.584,12173709218188.215
0.000374,2750901412434.949,5794612718699.983,9506051961044.873,12145134589864.035
0.000375,2703314585373.592,5722917022145.179,9435495024862.594,12115415430954.3
0.000376,2656285303437.7773,5651543220913.539,9364525285312.412,12084560478389.414
0.000377,2609813190646.945,5580501485499.291,9293159987184.408,12052578787577.957
0.00037799999999999997,2563897711900.963,5509801760066.559,9221416362919.188,12019479727978.367
0.000379,2518538175975.9927,5439453761341.962,9149311625835.787,11985272978525.29
0.00037999999999999997,2473733738545.185,5369466977634.242,9076862963421.14,11949968522913.75
0.000381,2429483405221.931,5299850667979.77,9004087530684.438,11913576644744.354
0.00038199999999999996,2385786034623.5044,5230613861412.945,8931002443580.049,11876107922532.838
0.000383,2342640341452.862,5161765356360.223,8857624772502.213,11837573224587.322
0.000384,2300044899596.4976,5093313720156.596,8783971535854.972,11797983703756.79
0.000385,2257998145236.176,5025267288683.1875,8710059693700.4375,11757350792054.275
0.000386,2216498379972.4546,4957634166124.5625,8635906141488.624,11715686195158.47
0.000387,2175543773957.961,4890422224844.371,8561527703871.917,11673001886797.367
0.000388,2135132369038.3118,4823639105377.737,8486941128607.102,11629310103017.76
0.00038899999999999997,2095262081898.748,4757292216538.917,8412163080547.929,11584623336344.441
0.00039,2055930707214.4373,4691388735642.495,8337210135730.933,11538954329832.947
0.00039099999999999996,2017135920802.5613,4625935608836.562,8262098775557.338,11492316071019.875
0.000392,1978875282774.2354,4560939551545.991,8186845381073.543,11444721785774.719
0.00039299999999999996,1941146240684.4316,4496407049024.175,8111466227352.877,11396184932057.383
0.000394,1903946132678.0256,4432344357011.238,8035977477980.904,11346719193585.371
0.000395,1867272190630.2256,4368757502496.9556,7960395179646.791,11296338473414.951
0.000396,1831121543279.574,4305652284586.3647,7884735256842.856,11245056887440.395
0.000397,1795491219351.8208,4243034275466.1113,7809013506674.528,11192888757815.588
0.00039799999999999997,1760378150673.0188,4180908821469.552,7733245593782.785,11139848606302.307
0.000399,1725779175270.1372,4119281044238.465,7657447045380.966,11085951147549.422
0.00039999999999999996,1691691040457.6602,4058155841979.3745,7581633246407.924,11031211282307.445
0.000401,1658110405908.5544,3997537890812.254,7505819434799.157,10975644090582.703
0.00040199999999999996,1625033846708.1401,3937431646209.5444,7430020696877.737,10919264824735.629
0.000403,1592457856389.3389,3877841344523.1904,7354251962866.4375,10862088902527.45
0.000404,1560378849947.9111,3818771004597.5635,7278528002522.669,10804131900119.824
0.000405,1528793166836.2583,3760224429465.9463,7202863420897.503,10745409545031.777
0.000406,1497697073934.4507,3702205208128.335,7127272654220.065,10685937709058.37
0.00040699999999999997,1467086768497.1958,3644716717408.2944,7051769965908.505,10625732401155.592
0.000408,1436958381075.4385,3587762123886.4683,6976369442708.535,10564809760295.893
0.00040899999999999997,1407307978411.4377,3531344385908.4976,6901084990960.589,10503186048298.777
0.00041,1378131566306.066,3475466255664.928,6825930332996.37,10440877642640.9
0.00041099999999999996,1349425092457.282,3420130281340.802,6750919003665.665,10377901029250.105
0.000412,1321184449268.6077,3365338809332.4956,6676064346993.968,10314272795287.764
0.00041299999999999996,1293405476626.6323,3311093986529.4917,6601379512971.61,10250009621923.861
0.000414,1266083964646.4817,3257397762658.616,6526877454474.751,10185128277109.12
0.000415,1239215656384.3423,3204251892688.42,6452570924318.707,10119645608348.586
0.000416,1212796250516.0884,3151657939291.2534,6378472472443.801,10053578535480.928
0.000417,1186821403981.147,3099617275360.633,6304594443233.988,9986944043467.727
0.00041799999999999997,1161286734590.7861,3048131086581.56,6230948972968.33,9919759175197.086
0.000419,1136187823600.008,2997200374051.2935,6157547987405.262,9852041024305.658
0.00041999999999999996,1111520218242.3306,2946825956948.2964,6084403199499.65,9783806728023.355
0.000421,1087279434226.7161,2897008475246.8574,6011526107252.332,9715073460044.781
0.00042199999999999996,1063460958196.0261,2847748392475.115,5938927991691.994,9645858423431.58
0.000423,1040060250146.3374,2799045998514.0195,5866619914988.874,9576178843549.58
0.000424,1017072745806.5663,2750901412434.948,5794612718699.983,9506051961044.87
0.000425,994493858977.8469,2703314585373.5923,5722917022145.182,9435495024862.594
0.000426,972318983832.1539,2656285303437.776,5651543220913.539,9364525285312.408
0.00042699999999999997,950543497169.7323,2609813190646.9453,5580501485499.295,9293159987184.408
0.000428,929162760634.8713,2563897711900.9624,5509801760066.559,9221416362919.182
0.00042899999999999997,908172122889.6776,2518538175975.9937,5439453761341.966,9149311625835.787
0.00043,887566921745.4626,2473733738545.184,5369466977634.242,9076862963421.139
0.00043099999999999996,867342486251.4646,2429483405221.9326,5299850667979.774,9004087530684.438
0.000432,847494138740.5984,2385786034623.5034,5230613861412.945,8931002443580.043
0.00043299999999999995,828017196832.0304,2342640341452.863,5161765356360.227,8857624772502.213
0.000434,808906975390.336,2300044899596.499,5093313720156.599,8783971535854.972
0.000435,790158788441.1107,2257998145236.1753,5025267288683.1875,8710059693700.436
0.00043599999999999997,771767951042.8641,2216498379972.456,4957634166124.565,8635906141488.624
0.000437,753729781115.1165,2175543773957.9604,4890422224844.371,8561527703871.913
0.00043799999999999997,736039601222.6304,2135132369038.312,4823639105377.741,8486941128607.102
0.000439,718692740315.7219,2095262081898.747,4757292216538.917,8412163080547.924
0.00043999999999999996,701684535426.6721,2055930707214.4375,4691388735642.499,8337210135730.933
0.000441,685010333322.234,2017135920802.56,4625935608836.562,8262098775557.333
0.00044199999999999996,668665492112.32,1978875282774.2368,4560939551545.995,8186845381073.543
0.000443,652645382814.9259,1941146240684.4302,4496407049024.175,8111466227352.873
0.000444,636945390877.4277,1903946132678.0242,4432344357011.238,8035977477980.9
0.000445,621560917654.3702,1867272190630.2268,4368757502496.9595,7960395179646.791
0.000446,606487381841.9248,1831121543279.5725,4305652284586.3647,7884735256842.853
0.00044699999999999997,591720220869.2114,1795491219351.8213,4243034275466.1147,7809013506674.528
0.000448,577254892246.6852,1760378150673.0178,4180908821469.552,7733245593782.781
0.00044899999999999996,563086874871.8591,1725779175270.1382,4119281044238.4683,7657447045380.966
0.00045,549211670292.59265,1691691040457.6592,4058155841979.3745,7581633246407.918
0.00045099999999999996,535624803928.26495,1658110405908.5552,3997537890812.257,7505819434799.157
0.000452,522321826249.1168,1625033846708.1394,3937431646209.5444,7430020696877.734
0.000453,509298313914.1267,1592457856389.3381,3877841344523.1904,7354251962866.433
0.000454,496549870867.7329,1560378849947.9126,3818771004597.567,7278528002522.669
0.000455,484072129395.80414,1528793166836.2576,3760224429465.9463,7202863420897.498
0.00045599999999999997,471860751141.2381,1497697073934.4521,3702205208128.3374,7127272654220.065
0.000457,459911428079.5887,1467086768497.1943,3644716717408.2944,7051769965908.501
0.00045799999999999997,448219883455.1734,1436958381075.4397,3587762123886.47,6976369442708.535
0.000459,436781872678.07056,1407307978411.4365,3531344385908.4976,6901084990960.585
0.00045999999999999996,425593184182.49274,1378131566306.0671,3475466255664.93,6825930332996.37
0.000461,414649640246.9886,1349425092457.2812,3420130281340.802,6750919003665.662
0.00046199999999999995,403947097776.9863,1321184449268.609,3365338809332.4985,6676064346993.968
0.000463,393481449050.1514,1293405476626.6318,3311093986529.4917,6601379512971.605
0.000464,383248622425.09393,1266083964646.4805,3257397762658.616,6526877454474.748
0.00046499999999999997,373244583013.9448,1239215656384.343,3204251892688.4233,6452570924318.707
0.000466,363465333319.33484,1212796250516.0876,3151657939291.2534,6378472472443.797
0.00046699999999999997,353906913836.3371,1186821403981.1475,3099617275360.636,6304594443233.988
0.000468,344565403619.9169,1161286734590.785,3048131086581.56,6230948972968.326
0.00046899999999999996,335436920818.4635,1136187823600.0085,2997200374051.297,6157547987405.262
0.00047,326517623173.97833,1111520218242.3298,2946825956948.2964,6084403199499.646
0.00047099999999999996,317803708489.5131,1087279434226.7161,2897008475246.86,6011526107252.332
0.000472,309291415064.4287,1063460958196.0261,2847748392475.115,5938927991691.989
0.000473,300977022098.09076,1040060250146.3365,2799045998514.0195,5866619914988.87
0.000474,292856850062.59924,1017072745806.5671,2750901412434.951,5794612718699.983
0.000475,284927261045.15466,994493858977.8461,2703314585373.5923,5722917022145.179
0.00047599999999999997,277184659060.69006,972318983832.1543,2656285303437.779,5651543220913.539
0.000477,269625490335.36725,950543497169.7314,2609813190646.9453,5580501485499.291
0.00047799999999999996,262246243561.57208,929162760634.8713,2563897711900.965,5509801760066.559
0.000479,255043450125.0222,908172122889.6768,2518538175975.9937,5439453761341.962
0.00047999999999999996,248013684304.62872,887566921745.4634,2473733738545.187,5369466977634.242
0.000481,241153563445.71857,867342486251.4639,2429483405221.9326,5299850667979.77
0.00048199999999999995,234459748107.26364,847494138740.5991,2385786034623.5054,5230613861412.945
0.000483,227928942183.7346,828017196832.0295,2342640341452.863,5161765356360.223
0.000484,221557893002.2223,808906975390.3353,2300044899596.499,5093313720156.596
0.00048499999999999997,215343391395.43906,790158788441.1113,2257998145236.1772,5025267288683.1875
0.000486,209282271751.24164,771767951042.8638,2216498379972.456,4957634166124.5625
0.00048699999999999997,203371412039.29868,753729781115.1172,2175543773957.9622,4890422224844.371
0.000488,197607733815.52325,736039601222.6298,2135132369038.312,4823639105377.737
0.000489,191988202204.90497,718692740315.7225,2095262081898.7495,4757292216538.917
0.00049,186509825863.34802,701684535426.6719,2055930707214.4375,4691388735642.495
0.000491,181169656919.14374,685010333322.2334,2017135920802.56,4625935608836.558
0.0004919999999999999,175964790894.68582,668665492112.3203,1978875282774.2385,4560939551545.995
0.000493,170892366609.03717,652645382814.9261,1941146240684.432,4496407049024.175
0.000494,165949566061.96307,636945390877.4283,1903946132678.026,4432344357011.238
0.000495,161133614300.01837,621560917654.3702,1867272190630.2268,4368757502496.9556
0.000496,156441779265.29572,606487381841.9248,1831121543279.5725,4305652284586.3613
0.0004969999999999999,151871371627.42133,591720220869.2114,1795491219351.8232,4243034275466.1147
0.000498,147419744599.38324,577254892246.6852,1760378150673.0198,4180908821469.552
0.000499,143084293737.77603,563086874871.8591,1725779175270.1382,4119281044238.465
0.0005,138862456728.02872,549211670292.59265,1691691040457.6592,4058155841979.37
